// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Vel_X	Vel_Y	Vel_Z
17223		-2.635042	1.240111	9.398997	0.531701	0.149161	0.021795	-0.833408			
17224		-2.603337	1.234443	9.357699	0.530582	0.149728	0.021647	-0.834024			
17225		-2.652629	1.345335	9.392644	0.529542	0.150245	0.021561	-0.834594			
17226		-2.616025	1.298995	9.390558	0.528661	0.150521	0.021798	-0.835096			
17227		-2.660748	1.220538	9.374968	0.527826	0.150583	0.022301	-0.835600			
17228		-2.664519	1.164628	9.347297	0.526943	0.150663	0.022826	-0.836128			
17229		-2.675728	1.117461	9.278455	0.526051	0.151006	0.022877	-0.836627			
17230		-2.701144	1.172174	9.247463	0.525067	0.151645	0.022719	-0.837133			
17231		-2.662794	1.267181	9.248912	0.524149	0.152232	0.022677	-0.837603			
17232		-2.682879	1.321630	9.223124	0.523386	0.152684	0.022926	-0.837991			
17233		-2.735960	1.353728	9.294158	0.522861	0.152987	0.023657	-0.838243			
17234		-2.744910	1.213131	9.329863	0.522566	0.153003	0.024307	-0.838406			
17235		-2.779372	1.159412	9.365581	0.522322	0.152989	0.024439	-0.838556			
17236		-2.751933	1.150558	9.344918	0.522019	0.152972	0.024443	-0.838748			
17237		-2.773105	1.154748	9.384396	0.521637	0.152804	0.024741	-0.839007			
17238		-2.720864	1.091439	9.263594	0.521211	0.152704	0.025066	-0.839281			
17239		-2.731534	1.170493	9.242956	0.520675	0.152817	0.025361	-0.839584			
17240		-2.755435	1.171841	9.294631	0.520188	0.152903	0.025740	-0.839859			
17241		-2.777301	1.162859	9.281732	0.519812	0.152987	0.026024	-0.840068			
17242		-2.754825	1.211728	9.293637	0.519591	0.153167	0.025999	-0.840172			
17243		-2.793818	1.189899	9.296572	0.519549	0.153318	0.026009	-0.840170			
17244		-2.797150	1.195656	9.260668	0.519631	0.153351	0.026155	-0.840109			
17245		-2.731826	1.126176	9.241978	0.519807	0.153255	0.026415	-0.840009			
17246		-2.749638	1.141107	9.225382	0.520005	0.153142	0.026502	-0.839904			
17247		-2.766160	1.118397	9.255289	0.520236	0.152937	0.026568	-0.839797			
17248		-2.774910	1.126983	9.301672	0.520426	0.152629	0.026489	-0.839738			
17249		-2.755295	1.205106	9.294359	0.520624	0.152079	0.026366	-0.839719			
17250		-2.724449	1.202427	9.286353	0.520866	0.151503	0.026150	-0.839680			
17251		-2.676594	1.147943	9.306362	0.521164	0.150838	0.026079	-0.839616			
17252		-2.640837	1.145775	9.290736	0.521431	0.150249	0.026052	-0.839557			
17253		-2.681025	1.115930	9.349705	0.521605	0.149719	0.025990	-0.839545			
17254		-2.650287	1.120108	9.369408	0.521744	0.149311	0.025783	-0.839538			
17255		-2.702282	1.209265	9.404566	0.521942	0.148944	0.025641	-0.839485			
17256		-2.692301	1.228337	9.428478	0.522284	0.148604	0.025498	-0.839337			
17257		-2.683253	1.200543	9.370004	0.522789	0.148419	0.025097	-0.839067			
17258		-2.710483	1.213699	9.399099	0.523478	0.148273	0.024502	-0.838681			
17259		-2.712542	1.171441	9.383840	0.524354	0.147991	0.023789	-0.838204			
17260		-2.649340	1.155996	9.345955	0.525356	0.147549	0.022883	-0.837679			
17261		-2.620094	1.168994	9.318825	0.526464	0.146958	0.021797	-0.837116			
17262		-2.595968	1.154030	9.313339	0.527612	0.146120	0.020753	-0.836566			
17263		-2.525306	1.301857	9.350272	0.528888	0.145109	0.019659	-0.835963			
17264		-2.515472	1.327212	9.361398	0.530239	0.144028	0.018546	-0.835320			
17265		-2.484947	1.350026	9.382428	0.531763	0.143023	0.017107	-0.834554			
17266		-2.463628	1.474607	9.370409	0.533596	0.142291	0.015501	-0.833539			
17267		-2.457358	1.570414	9.336040	0.535841	0.141637	0.013956	-0.832237			
17268		-2.415798	1.681407	9.364436	0.538587	0.141309	0.012392	-0.830543			
17269		-2.389111	1.795554	9.358797	0.542051	0.141076	0.011014	-0.828346			
17270		-2.395755	1.690077	9.304886	0.546145	0.140875	0.009858	-0.825701			
17271		-2.404759	1.691345	9.359690	0.550719	0.140713	0.008820	-0.822697			
17272		-2.370156	1.621583	9.370043	0.555682	0.140594	0.007630	-0.819385			
17273		-2.391868	1.599373	9.382762	0.561018	0.140344	0.006444	-0.815795			
17274		-2.405096	1.531200	9.362984	0.566515	0.139752	0.005356	-0.812097			
17275		-2.366037	1.358457	9.325339	0.571878	0.138599	0.004633	-0.808532			
