// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Vel_X	Vel_Y	Vel_Z
17229		1.334335	0.276197	9.758928	0.996874	0.015126	-0.067674	0.037877			
17230		1.305080	0.270940	9.693423	0.996847	0.015650	-0.067977	0.037816			
17231		1.344041	0.276737	9.694886	0.996806	0.016317	-0.068432	0.037791			
17232		1.324331	0.291488	9.669491	0.996772	0.016862	-0.068789	0.037806			
17233		1.342290	0.318729	9.597246	0.996739	0.017523	-0.069095	0.037808			
17234		1.368840	0.373271	9.636394	0.996718	0.018013	-0.069279	0.037798			
17235		1.338724	0.405763	9.675735	0.996717	0.018046	-0.069307	0.037765			
17236		1.413878	0.365743	9.736014	0.996716	0.017892	-0.069362	0.037768			
17237		1.375153	0.282831	9.705706	0.996725	0.017682	-0.069310	0.037718			
17238		1.347765	0.262680	9.769684	0.996722	0.017777	-0.069352	0.037677			
17239		1.380562	0.324965	9.729059	0.996713	0.017894	-0.069484	0.037604			
17240		1.369171	0.291415	9.707491	0.996701	0.018136	-0.069643	0.037531			
17241		1.372130	0.383359	9.666006	0.996687	0.018353	-0.069800	0.037496			
17242		1.338696	0.371807	9.651347	0.996682	0.018540	-0.069802	0.037543			
17243		1.373551	0.366963	9.673087	0.996679	0.018631	-0.069761	0.037635			
17244		1.373973	0.354944	9.661584	0.996678	0.018551	-0.069722	0.037788			
17245		1.357809	0.350620	9.614360	0.996674	0.018585	-0.069667	0.037982			
17246		1.356789	0.337967	9.643303	0.996678	0.018485	-0.069537	0.038165			
17247		1.403199	0.331260	9.592535	0.996694	0.018420	-0.069225	0.038345			
17248		1.402444	0.337349	9.643335	0.996708	0.018302	-0.068905	0.038613			
17249		1.399107	0.353245	9.665817	0.996732	0.018040	-0.068481	0.038858			
17250		1.370977	0.312185	9.627353	0.996768	0.017678	-0.067891	0.039140			
17251		1.336593	0.292536	9.693052	0.996806	0.017073	-0.067355	0.039356			
17252		1.334837	0.211536	9.745275	0.996848	0.016665	-0.066787	0.039446			
17253		1.315213	0.230951	9.751492	0.996886	0.016356	-0.066242	0.039527			
17254		1.304522	0.247490	9.755402	0.996923	0.016104	-0.065716	0.039579			
17255		1.331709	0.244925	9.769531	0.996960	0.015855	-0.065188	0.039618			
17256		1.241800	0.314754	9.795280	0.996993	0.015628	-0.064711	0.039652			
17257		1.274899	0.265918	9.743165	0.997021	0.015325	-0.064317	0.039723			
17258		1.282461	0.316096	9.737658	0.997050	0.014881	-0.063859	0.039901			
